# Spectrum of hd97658 (muscles) at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
3.9192797e+01	2.3500960e-01 
3.9292797e+01	2.3500960e-01 
3.9392797e+01	2.3500960e-01 
3.9492797e+01	2.3500960e-01 
3.9592797e+01	2.3500960e-01 
3.9692797e+01	2.3500960e-01 
3.9792797e+01	2.3500960e-01 
3.9892797e+01	2.3500960e-01 
3.9992797e+01	1.4241534e-01 
4.0092797e+01	1.8655083e-02 
4.0192797e+01	1.8655083e-02 
4.0292797e+01	1.8655083e-02 
4.0392797e+01	1.8655083e-02 
4.0492797e+01	1.8655083e-02 
4.0592797e+01	1.8655083e-02 
4.0692797e+01	1.8655083e-02 
4.0792797e+01	1.8655083e-02 
4.0892797e+01	1.8655083e-02 
4.0992797e+01	1.8655083e-02 
4.1092797e+01	1.8655083e-02 
4.1192797e+01	1.8655083e-02 
4.1292797e+01	1.8655083e-02 
4.1392797e+01	1.8655083e-02 
4.1492797e+01	1.8655083e-02 
4.1592797e+01	1.8655083e-02 
4.1692797e+01	1.8655083e-02 
4.1792797e+01	1.8655083e-02 
4.1892797e+01	1.8655083e-02 
4.1992797e+01	1.8655083e-02 
4.2092797e+01	1.8655083e-02 
4.2192797e+01	1.8655083e-02 
4.2292797e+01	1.8655083e-02 
4.2392797e+01	1.8655083e-02 
4.2492797e+01	1.8655083e-02 
4.2592797e+01	1.8655083e-02 
4.2692797e+01	1.8655083e-02 
4.2792797e+01	1.8655083e-02 
4.2892797e+01	1.8655083e-02 
4.2992797e+01	1.8655083e-02 
4.3092797e+01	1.8655083e-02 
4.3192797e+01	1.8655083e-02 
4.3292797e+01	1.8655083e-02 
4.3392797e+01	1.8655083e-02 
4.3492797e+01	1.8655083e-02 
4.3592797e+01	1.8655083e-02 
4.3692797e+01	1.8655083e-02 
4.3792797e+01	1.8655083e-02 
4.3892797e+01	1.8655083e-02 
4.3992797e+01	1.8655083e-02 
4.4092797e+01	1.8655083e-02 
4.4192797e+01	1.8655083e-02 
4.4292797e+01	1.8655083e-02 
4.4392797e+01	1.8655083e-02 
4.4492797e+01	1.8655083e-02 
4.4592797e+01	1.8655083e-02 
4.4692797e+01	1.8655083e-02 
4.4792797e+01	1.8655083e-02 
4.4892797e+01	1.8655083e-02 
4.4992797e+01	1.8655083e-02 
4.5092797e+01	1.8655083e-02 
4.5192797e+01	1.8655083e-02 
4.5292797e+01	1.8655083e-02 
4.5392797e+01	1.8655083e-02 
4.5492797e+01	1.8655083e-02 
4.5592797e+01	1.8655083e-02 
4.5692797e+01	1.8655083e-02 
4.5792797e+01	1.8655083e-02 
4.5892797e+01	1.8655083e-02 
4.5992797e+01	1.8655083e-02 
4.6092797e+01	1.8655083e-02 
4.6192797e+01	1.8655083e-02 
4.6292797e+01	1.8655083e-02 
4.6392797e+01	1.8655083e-02 
4.6492797e+01	1.8655083e-02 
4.6592797e+01	1.8655083e-02 
4.6692797e+01	1.8655083e-02 
4.6792797e+01	1.8655083e-02 
4.6892797e+01	1.8655083e-02 
4.6992797e+01	1.8655083e-02 
4.7092797e+01	1.8655083e-02 
4.7192797e+01	1.8655083e-02 
4.7292797e+01	1.8655083e-02 
4.7392797e+01	1.8655083e-02 
4.7492797e+01	1.8655083e-02 
4.7592797e+01	1.8655083e-02 
4.7692797e+01	1.8655083e-02 
4.7792797e+01	1.8655083e-02 
4.7892797e+01	1.8655083e-02 
4.7992797e+01	1.8655083e-02 
4.8092797e+01	1.8655083e-02 
4.8192797e+01	1.8655083e-02 
4.8292797e+01	1.8655083e-02 
4.8392797e+01	1.8655083e-02 
4.8492797e+01	1.8655083e-02 
4.8592797e+01	1.8655083e-02 
4.8692797e+01	1.8655083e-02 
4.8792797e+01	1.8655083e-02 
4.8892797e+01	1.8655083e-02 
4.8992797e+01	1.8655083e-02 
4.9092797e+01	1.8655083e-02 
4.9192797e+01	1.8655083e-02 
4.9292797e+01	1.8655083e-02 
4.9392797e+01	1.8655083e-02 
4.9492797e+01	1.8655083e-02 
4.9592797e+01	1.8655083e-02 
4.9692797e+01	1.8655083e-02 
4.9792797e+01	1.8655083e-02 
4.9892797e+01	1.8655083e-02 
4.9992797e+01	4.0703244e-02 
5.0092797e+01	7.0172523e-02 
5.0192797e+01	7.0172523e-02 
5.0292797e+01	7.0172523e-02 
5.0392797e+01	7.0172523e-02 
5.0492797e+01	7.0172523e-02 
5.0592797e+01	7.0172523e-02 
5.0692797e+01	7.0172523e-02 
5.0792797e+01	7.0172523e-02 
5.0892797e+01	7.0172523e-02 
5.0992797e+01	7.0172523e-02 
5.1092797e+01	7.0172523e-02 
5.1192797e+01	7.0172523e-02 
5.1292797e+01	7.0172523e-02 
5.1392797e+01	7.0172523e-02 
5.1492797e+01	7.0172523e-02 
5.1592797e+01	7.0172523e-02 
5.1692797e+01	7.0172523e-02 
5.1792797e+01	7.0172523e-02 
5.1892797e+01	7.0172523e-02 
5.1992797e+01	7.0172523e-02 
5.2092797e+01	7.0172523e-02 
5.2192797e+01	7.0172523e-02 
5.2292797e+01	7.0172523e-02 
5.2392797e+01	7.0172523e-02 
5.2492797e+01	7.0172523e-02 
5.2592797e+01	7.0172523e-02 
5.2692797e+01	7.0172523e-02 
5.2792797e+01	7.0172523e-02 
5.2892797e+01	7.0172523e-02 
5.2992797e+01	7.0172523e-02 
5.3092797e+01	7.0172523e-02 
5.3192797e+01	7.0172523e-02 
5.3292797e+01	7.0172523e-02 
5.3392797e+01	7.0172523e-02 
5.3492797e+01	7.0172523e-02 
5.3592797e+01	7.0172523e-02 
5.3692797e+01	7.0172523e-02 
5.3792797e+01	7.0172523e-02 
5.3892797e+01	7.0172523e-02 
5.3992797e+01	7.0172523e-02 
5.4092797e+01	7.0172523e-02 
5.4192797e+01	7.0172523e-02 
5.4292797e+01	7.0172523e-02 
5.4392797e+01	7.0172523e-02 
5.4492797e+01	7.0172523e-02 
5.4592797e+01	7.0172523e-02 
5.4692797e+01	7.0172523e-02 
5.4792797e+01	7.0172523e-02 
5.4892797e+01	7.0172523e-02 
5.4992797e+01	7.0172523e-02 
5.5092797e+01	7.0172523e-02 
5.5192797e+01	7.0172523e-02 
5.5292797e+01	7.0172523e-02 
5.5392797e+01	7.0172523e-02 
5.5492797e+01	7.0172523e-02 
5.5592797e+01	7.0172523e-02 
5.5692797e+01	7.0172523e-02 
5.5792797e+01	7.0172523e-02 
5.5892797e+01	7.0172523e-02 
5.5992797e+01	7.0172523e-02 
5.6092797e+01	7.0172523e-02 
5.6192797e+01	7.0172523e-02 
5.6292797e+01	7.0172523e-02 
5.6392797e+01	7.0172523e-02 
5.6492797e+01	7.0172523e-02 
5.6592797e+01	7.0172523e-02 
5.6692797e+01	7.0172523e-02 
5.6792797e+01	7.0172523e-02 
5.6892797e+01	7.0172523e-02 
5.6992797e+01	7.0172523e-02 
5.7092797e+01	7.0172523e-02 
5.7192797e+01	7.0172523e-02 
5.7292797e+01	7.0172523e-02 
5.7392797e+01	7.0172523e-02 
5.7492797e+01	7.0172523e-02 
5.7592797e+01	7.0172523e-02 
5.7692797e+01	7.0172523e-02 
5.7792797e+01	7.0172523e-02 
5.7892797e+01	7.0172523e-02 
5.7992797e+01	7.0172523e-02 
5.8092797e+01	7.0172523e-02 
5.8192797e+01	7.0172523e-02 
5.8292797e+01	7.0172523e-02 
5.8392797e+01	7.0172523e-02 
5.8492797e+01	7.0172523e-02 
5.8592797e+01	7.0172523e-02 
5.8692797e+01	7.0172523e-02 
5.8792797e+01	7.0172523e-02 
5.8892797e+01	7.0172523e-02 
5.8992797e+01	7.0172523e-02 
5.9092797e+01	7.0172523e-02 
5.9192797e+01	7.0172523e-02 
5.9292797e+01	7.0172523e-02 
5.9392797e+01	7.0172523e-02 
5.9492797e+01	7.0172523e-02 
5.9592797e+01	7.0172523e-02 
5.9692797e+01	7.0172523e-02 
5.9792797e+01	7.0172523e-02 
5.9892797e+01	7.0172523e-02 
5.9992797e+01	5.8107144e-02 
6.0092797e+01	4.1980718e-02 
6.0192797e+01	4.1980718e-02 
6.0292797e+01	4.1980718e-02 
6.0392797e+01	4.1980718e-02 
6.0492797e+01	4.1980718e-02 
6.0592797e+01	4.1980718e-02 
6.0692797e+01	4.1980718e-02 
6.0792797e+01	4.1980718e-02 
6.0892797e+01	4.1980718e-02 
6.0992797e+01	4.1980718e-02 
6.1092797e+01	4.1980718e-02 
6.1192797e+01	4.1980718e-02 
6.1292797e+01	4.1980718e-02 
6.1392797e+01	4.1980718e-02 
6.1492797e+01	4.1980718e-02 
6.1592797e+01	4.1980718e-02 
6.1692797e+01	4.1980718e-02 
6.1792797e+01	4.1980718e-02 
6.1892797e+01	4.1980718e-02 
6.1992797e+01	4.1980718e-02 
6.2092797e+01	4.1980718e-02 
6.2192797e+01	4.1980718e-02 
6.2292797e+01	4.1980718e-02 
6.2392797e+01	4.1980718e-02 
6.2492797e+01	4.1980718e-02 
6.2592797e+01	4.1980718e-02 
6.2692797e+01	4.1980718e-02 
6.2792797e+01	4.1980718e-02 
6.2892797e+01	4.1980718e-02 
6.2992797e+01	4.1980718e-02 
6.3092797e+01	4.1980718e-02 
6.3192797e+01	4.1980718e-02 
6.3292797e+01	4.1980718e-02 
6.3392797e+01	4.1980718e-02 
6.3492797e+01	4.1980718e-02 
6.3592797e+01	4.1980718e-02 
6.3692797e+01	4.1980718e-02 
6.3792797e+01	4.1980718e-02 
6.3892797e+01	4.1980718e-02 
6.3992797e+01	4.1980718e-02 
6.4092797e+01	4.1980718e-02 
6.4192797e+01	4.1980718e-02 
6.4292797e+01	4.1980718e-02 
6.4392797e+01	4.1980718e-02 
6.4492797e+01	4.1980718e-02 
6.4592797e+01	4.1980718e-02 
6.4692797e+01	4.1980718e-02 
6.4792797e+01	4.1980718e-02 
6.4892797e+01	4.1980718e-02 
6.4992797e+01	4.1980718e-02 
6.5092797e+01	4.1980718e-02 
6.5192797e+01	4.1980718e-02 
6.5292797e+01	4.1980718e-02 
6.5392797e+01	4.1980718e-02 
6.5492797e+01	4.1980718e-02 
6.5592797e+01	4.1980718e-02 
6.5692797e+01	4.1980718e-02 
6.5792797e+01	4.1980718e-02 
6.5892797e+01	4.1980718e-02 
6.5992797e+01	4.1980718e-02 
6.6092797e+01	4.1980718e-02 
6.6192797e+01	4.1980718e-02 
6.6292797e+01	4.1980718e-02 
6.6392797e+01	4.1980718e-02 
6.6492797e+01	4.1980718e-02 
6.6592797e+01	4.1980718e-02 
6.6692797e+01	4.1980718e-02 
6.6792797e+01	4.1980718e-02 
6.6892797e+01	4.1980718e-02 
6.6992797e+01	4.1980718e-02 
6.7092797e+01	4.1980718e-02 
6.7192797e+01	4.1980718e-02 
6.7292797e+01	4.1980718e-02 
6.7392797e+01	4.1980718e-02 
6.7492797e+01	4.1980718e-02 
6.7592797e+01	4.1980718e-02 
6.7692797e+01	4.1980718e-02 
6.7792797e+01	4.1980718e-02 
6.7892797e+01	4.1980718e-02 
6.7992797e+01	4.1980718e-02 
6.8092797e+01	4.1980718e-02 
6.8192797e+01	4.1980718e-02 
6.8292797e+01	4.1980718e-02 
6.8392797e+01	4.1980718e-02 
6.8492797e+01	4.1980718e-02 
6.8592797e+01	4.1980718e-02 
6.8692797e+01	4.1980718e-02 
6.8792797e+01	4.1980718e-02 
6.8892797e+01	4.1980718e-02 
6.8992797e+01	4.1980718e-02 
6.9092797e+01	4.1980718e-02 
6.9192797e+01	4.1980718e-02 
6.9292797e+01	4.1980718e-02 
6.9392797e+01	4.1980718e-02 
6.9492797e+01	4.1980718e-02 
6.9592797e+01	4.1980718e-02 
6.9692797e+01	4.1980718e-02 
6.9792797e+01	4.1980718e-02 
6.9892797e+01	4.1980718e-02 
6.9992797e+01	6.5351440e-02 
7.0092797e+01	9.6588436e-02 
7.0192797e+01	9.6588436e-02 
7.0292797e+01	9.6588436e-02 
7.0392797e+01	9.6588436e-02 
7.0492797e+01	9.6588436e-02 
7.0592797e+01	9.6588436e-02 
7.0692797e+01	9.6588436e-02 
7.0792797e+01	9.6588436e-02 
7.0892797e+01	9.6588436e-02 
7.0992797e+01	9.6588436e-02 
7.1092797e+01	9.6588436e-02 
7.1192797e+01	9.6588436e-02 
7.1292797e+01	9.6588436e-02 
7.1392797e+01	9.6588436e-02 
7.1492797e+01	9.6588436e-02 
7.1592797e+01	9.6588436e-02 
7.1692797e+01	9.6588436e-02 
7.1792797e+01	9.6588436e-02 
7.1892797e+01	9.6588436e-02 
7.1992797e+01	9.6588436e-02 
7.2092797e+01	9.6588436e-02 
7.2192797e+01	9.6588436e-02 
7.2292797e+01	9.6588436e-02 
7.2392797e+01	9.6588436e-02 
7.2492797e+01	9.6588436e-02 
7.2592797e+01	9.6588436e-02 
7.2692797e+01	9.6588436e-02 
7.2792797e+01	9.6588436e-02 
7.2892797e+01	9.6588436e-02 
7.2992797e+01	9.6588436e-02 
